plot.id,block.id.harvest,site.id,block.id,site.name,region,landuse,block,treatment,harvest,wp,lat,long,setup.date,harvest.date,growth.period,rain.sum,rain.acc.sum,target.sp.,pasture.disc.setup,height. setup,target.sp.cover.setup,total.veg.cover.setup,pasture.disc.harvest,height.harvest,target.sp.cover.harvest,total.veg.cover.harvest,biomass.target.sp.,biomass.other.sp.,N.target.SUA,N.target.SUA17,N.target.NMBU,N.target.NTNU,P.target.SUA,P.target.SUA17,P.target.NMBU,P.target.USDM,N.other.SUA,N.other.SUA17,N.other.NMBU,N.other.NTNU,P.otherSUA,P.other.SUA17,P.other.NMBU,P.other.USDM
WET_W_1_H0,WET_W_1_H1,WET_W,WET_W_1,Handajega,WET,W,1,H0,H0,954,-2.272484,34.023326,2/16/2017,,,,,The.tri,3,2.6,15,50,,,,,1.83,13.97,,,,,,,0.26,3.48,,,,,,,0.29,0.76
WET_W_2_H0,WET_W_2_H1,WET_W,WET_W_2,Handajega,WET,W,2,H0,H0,953,-2.278300,34.024459,2/16/2017,,,,,The.tri,,,10,40,,,,,2.22,10.14,,,,,,,0.29,0.94,,,,,,,0.31,0.85
WET_W_3_H0,WET_W_3_H1,WET_W,WET_W_3,Handajega,WET,W,3,H0,H0,951,-2.277999,34.027678,2/16/2017,,,,,The.tri,3.4,3.8,25,60,,,,,8.61,14.16,,,,,,,0.31,0.95,,,,,,,0.21,1.01
WET_W_4_H0,WET_W_4_H1,WET_W,WET_W_4,Handajega,WET,W,4,H0,H0,950,-2.278837,34.031884,2/16/2017,,,,,The.tri,1.5,2.6,25,70,,,,,,29.26,,,,,,,,,1.65,,,,0.06,,,0.79
WET_P_1_H0,WET_P_1_H1,WET_P,WET_P_1,Mwantimba,WET,P,1,H0,H0,957,-2.350052,34.049976,2/17/2017,,,,,Chr.ori,0.5,,0.5,5,,,,,2.42,0.86,,,,,,,0.22,1.04,2.21,,,,0.11,,0.2,
WET_P_2_H0,WET_P_2_H1,WET_P,WET_P_2,Mwantimba,WET,P,2,H0,H0,959,-2.348488,34.050110,2/17/2017,,,,,Chr.ori,0.5,0.8,0.5,15,,,,,0.69,2.52,,,,,,,0.22,,1.65,,,,0.05,,0.21,4.05
WET_P_3_H0,WET_P_3_H1,WET_P,WET_P_3,Mwantimba,WET,P,3,H0,H0,1022,-2.367293,34.062509,2/17/2017,,,,,Chr.ori,1,1.2,,,,,,,,4.96,,,,,,,,,1.16,,,,0.03,,0.27,1.03
WET_P_4_H0,WET_P_4_H1,WET_P,WET_P_4,Mwantimba,WET,P,4,H0,H0,1020,-2.368570,34.062586,2/23/2017,,,,,Chr.ori,,0.7,12,20,,,,,1.65,2.76,,,,,,,0.29,,,,,,,,0.23,1.1
DRY_W_1_H0,DRY_W_1_H1,DRY_W,DRY_W_1,Maswa,DRY,W,1,H0,H0,995,-3.299332,34.848458,2/19/2017,,,,,Cyn.dac,,0.3,22,30,,,,,12.24,1.98,4.66,,,,0.15,,0.19,4.02,,,,,,,0.33,0.76
DRY_W_2_H0,DRY_W_2_H1,DRY_W,DRY_W_2,Maswa,DRY,W,2,H0,H0,980,-3.303268,34.847796,2/19/2017,,,,,Cyn.dac,,0.4,12,40,,,,,3.99,7.26,,,,,,,0.17,3.34,,,,,,,0.32,0.41
DRY_W_3_H0,DRY_W_3_H1,DRY_W,DRY_W_3,Maswa,DRY,W,3,H0,H0,998,-3.295645,34.852435,2/20/2017,,,,,Cyn.dac,,0.4,8,30,,,,,2.42,11.05,,,,,,,0.23,3.34,5.57,,,,0.21,,,1.36
DRY_W_4_H0,DRY_W_4_H1,DRY_W,DRY_W_4,Maswa,DRY,W,4,H0,H0,1000,-3.296013,34.854327,2/20/2017,,,,,Cyn.dac,,0.4,10,40,,,,,1.47,13.36,,,,,,,0.24,,,,,,,,0.38,0.87
DRY_P_1_H0,DRY_P_1_H1,DRY_P,DRY_P_1,Makao,DRY,P,1,H0,H0,1009,-3.303212,34.847736,2/21/2017,,,,,Chl.pyc,1.4,3.1,10,50,,,,,2.03,11.73,,,2.21,,,,0.25,2.43,2.14,,,,0.16,,,1.15
DRY_P_2_H0,DRY_P_2_H1,DRY_P,DRY_P_2,Makao,DRY,P,2,H0,H0,1006,-3.408426,34.850244,2/21/2017,,,,,Chl.pyc,0.5,1.3,27,45,,,,,5.9,4.22,,,,,,,0.34,0.69,,,3.02,,,,0.37,1.4
DRY_P_3_H0,DRY_P_3_H1,DRY_P,DRY_P_3,Makao,DRY,P,3,H0,H0,1001,-3.406316,34.850407,2/20/2017,,,,,Chl.pyc,1,3,8,30,,,,,0.79,11,,,,,,,0.17,2.61,2.7,,,,0.13,,,1.16
DRY_P_4_H0,DRY_P_4_H1,DRY_P,DRY_P_4,Makao,DRY,P,4,H0,H0,1003,-3.406853,34.851600,2/20/2017,,,,,Chl.pyc,1.3,1.9,7,40,,,,,1.16,11.66,,,,,,,0.15,,,,,,,,0.16,0.89
SE_1_H0,SE_1_H1,SE_1_,SE_1,Seronera,SE,W,1,H0,H0,1023,-2.437747,34.855162,2/26/2017,,,,,Dig.mac,,,,35,,,,,,12.35,,,,,,,,,2.73,,,,0.06,,,0.67
